Gene Name,Transcript Name,Description
Phvul.002G127100,Phvul.002G127100.1,"PTHR31803:SF4 - UBIQUINOL OXIDASE 1A, MITOCHONDRIAL-RELATED (1 of 1)"
Phvul.010G091751,Phvul.010G091751.1,
Phvul.009G041400,Phvul.009G041400.1,PTHR32246:SF15 - CALCIUM-DEPENDENT LIPID-BINDING (CALB DOMAIN) FAMILY PROTEIN (1 of 2)
Phvul.003G221200,Phvul.003G221200.1,
Phvul.008G168600,Phvul.008G168600.2,
Phvul.009G243000,Phvul.009G243000.2,
Phvul.003G187400,Phvul.003G187400.2,"PF04398 - Protein of unknown function, DUF538 (DUF538)  (1 of 22)"
Phvul.009G060800,Phvul.009G060800.4,
Phvul.009G038300,Phvul.009G038300.1,PTHR35281:SF1 - CONSERVED PEPTIDE UPSTREAM OPEN READING FRAME 37-RELATED (1 of 4)
Phvul.003G258400,Phvul.003G258400.3,
Phvul.010G099400,Phvul.010G099400.4,
Phvul.005G014400,Phvul.005G014400.1,
Phvul.003G183500,Phvul.003G183500.8,
Phvul.007G089400,Phvul.007G089400.1,"PTHR21349:SF2 - 50S RIBOSOMAL PROTEIN L21, CHLOROPLASTIC (1 of 1)"
Phvul.002G286400,Phvul.002G286400.1,
Phvul.009G198000,Phvul.009G198000.1,PTHR22950:SF237 - AMINO ACID TRANSPORTER-RELATED (1 of 2)
Phvul.003G090501,Phvul.003G090501.1,PF02365 - No apical meristem (NAM) protein (NAM)  (1 of 91)
Phvul.004G015800,Phvul.004G015800.1,PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 124)
Phvul.011G186800,Phvul.011G186800.2,
Phvul.008G071700,Phvul.008G071700.4,
Phvul.008G018500,Phvul.008G018500.1,PTHR13793:SF100 - HISTONE-LYSINE N-METHYLTRANSFERASE ATX1-RELATED (1 of 1)
Phvul.008G182200,Phvul.008G182200.1,1.6.2.4 - NADPH--hemoprotein reductase / TPNH-cytochrome c reductase (1 of 3)
Phvul.002G100800,Phvul.002G100800.4,
Phvul.008G084100,Phvul.008G084100.2,PTHR34945:SF2 - 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE SUPERFAMILY PROTEIN (1 of 1)
Phvul.007G093300,Phvul.007G093300.1,PTHR11802:SF71 - SERINE CARBOXYPEPTIDASE-LIKE 26-RELATED (1 of 1)
Phvul.009G147000,Phvul.009G147000.1,PTHR14379:SF6 - EMB (1 of 2)
Phvul.008G058100,Phvul.008G058100.1,"PTHR12358:SF43 - SPHINGOID LONG-CHAIN BASES KINASE 2, MITOCHONDRIAL (1 of 1)"
Phvul.006G092700,Phvul.006G092700.1,PTHR33976:SF2 - GLYCOPROTEIN MEMBRANE GPI-ANCHORED (1 of 3)
Phvul.004G156600,Phvul.004G156600.1,"PTHR11614:SF86 - HYDROLASE, ALPHA/BETA FOLD FAMILY PROTEIN (1 of 2)"
Phvul.010G018200,Phvul.010G018200.2,
Phvul.005G035000,Phvul.005G035000.1,PF11891 - Domain of unknown function (DUF3411) (DUF3411)  (1 of 9)
Phvul.006G051800,Phvul.006G051800.1,PF08268 - F-box associated domain (FBA_3)  (1 of 9)
Phvul.002G106600,Phvul.002G106600.2,
Phvul.002G030500,Phvul.002G030500.1,
Phvul.002G261900,Phvul.002G261900.1,PTHR31083:SF6 - PROTEIN UPSTREAM OF FLC (1 of 1)
Phvul.011G175100,Phvul.011G175100.1,"PF15491 - CST, telomere maintenance, complex subunit CTC1 (CTC1_2)  (1 of 1)"
Phvul.005G086000,Phvul.005G086000.1,
Phvul.007G052700,Phvul.007G052700.1,KOG3476 - Microtubule-associated protein CRIPT (1 of 1)
Phvul.007G005900,Phvul.007G005900.3,
Phvul.008G011400,Phvul.008G011400.1,PTHR19375//PTHR19375:SF227 - HEAT SHOCK PROTEIN 70KDA // SUBFAMILY NOT NAMED (1 of 5)
Phvul.002G203500,Phvul.002G203500.1,
Phvul.009G102700,Phvul.009G102700.1,
Phvul.002G248800,Phvul.002G248800.3,
Phvul.005G089400,Phvul.005G089400.4,
Phvul.007G099300,Phvul.007G099300.1,PF12646 - Domain of unknown function (DUF3783) (DUF3783)  (1 of 1)
Phvul.007G034900,Phvul.007G034900.1,PTHR11206:SF87 - MATE EFFLUX FAMILY PROTEIN-RELATED (1 of 5)
Phvul.002G331200,Phvul.002G331200.2,
Phvul.009G258200,Phvul.009G258200.1,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 197)
Phvul.006G175700,Phvul.006G175700.1,PTHR31213:SF8 - ABSCISIC ACID RECEPTOR PYL11-RELATED (1 of 1)
Phvul.009G014300,Phvul.009G014300.1,KOG2385 - Uncharacterized conserved protein (1 of 1)
Phvul.004G026300,Phvul.004G026300.1,
Phvul.003G119100,Phvul.003G119100.1,"PTHR16166:SF93 - PROTEIN T08G11.1, ISOFORM A (1 of 1)"
Phvul.005G042900,Phvul.005G042900.2,PF06136 - Domain of unknown function (DUF966) (DUF966)  (1 of 6)
Phvul.006G059218,Phvul.006G059218.2,
Phvul.007G150000,Phvul.007G150000.1,PTHR19241:SF252 - WHITE-BROWN COMPLEX HOMOLOG PROTEIN 30-RELATED (1 of 1)
Phvul.003G117100,Phvul.003G117100.1,PTHR31080:SF18 - CELL WALL / VACUOLAR INHIBITOR OF FRUCTOSIDASE 1-RELATED (1 of 5)
Phvul.002G069500,Phvul.002G069500.1,PF01535//PF13041//PF13812 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  (1 of 46)
Phvul.008G130100,Phvul.008G130100.5,
Phvul.007G154900,Phvul.007G154900.15,
Phvul.001G205900,Phvul.001G205900.1,"PTHR10057:SF0 - PROTEIN C41G7.9, ISOFORM B (1 of 1)"
Phvul.004G052300,Phvul.004G052300.1,PTHR31662:SF1 - A_IG002N01.32 PROTEIN-RELATED (1 of 2)
Phvul.003G049100,Phvul.003G049100.1,PTHR11177//PTHR11177:SF158 - CHITINASE // SUBFAMILY NOT NAMED (1 of 2)
Phvul.009G019100,Phvul.009G019100.1,"K03033 - 26S proteasome regulatory subunit N3 (PSMD3, RPN3)  (1 of 2)"
Phvul.L008700,Phvul.L008700.2,K03537 - ribonuclease P/MRP protein subunit POP5 (POP5)  (1 of 4)
Phvul.006G086700,Phvul.006G086700.1,PTHR12802:SF60 - PROTEIN REVEILLE 1-RELATED (1 of 2)
Phvul.001G042000,Phvul.001G042000.7,
Phvul.009G202600,Phvul.009G202600.1,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 197)
Phvul.004G148600,Phvul.004G148600.1,PF10497 - Zinc-finger domain of monoamine-oxidase A repressor R1 (zf-4CXXC_R1)  (1 of 12)
Phvul.008G193500,Phvul.008G193500.1,PTHR31479:SF3 - GB (1 of 3)
Phvul.008G073500,Phvul.008G073500.1,PF12937 - F-box-like (F-box-like)  (1 of 53)
Phvul.001G065550,Phvul.001G065550.5,
Phvul.001G093400,Phvul.001G093400.1,
Phvul.001G069500,Phvul.001G069500.1,K04733 - interleukin-1 receptor-associated kinase 4 (IRAK4)  (1 of 48)
Phvul.001G124900,Phvul.001G124900.3,
Phvul.007G225100,Phvul.007G225100.1,PTHR14255//PTHR14255:SF5 - ATP-DEPENDENT PROTEASE  CEREBLON // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G159600,Phvul.002G159600.1,"K02947 - small subunit ribosomal protein S10e (RP-S10e, RPS10)  (1 of 3)"
Phvul.003G114200,Phvul.003G114200.1,PTHR21495//PTHR21495:SF69 - NUCLEOPORIN-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.001G143200,Phvul.001G143200.1,K02328 - DNA polymerase delta subunit 2 (POLD2)  (1 of 2)
Phvul.007G009600,Phvul.007G009600.1,PTHR10644:SF1 - SPLICING FACTOR 3B SUBUNIT 3 (1 of 1)
Phvul.001G097600,Phvul.001G097600.5,
Phvul.009G172001,Phvul.009G172001.1,PF00067 - Cytochrome P450 (p450)  (1 of 273)
Phvul.001G204800,Phvul.001G204800.2,
Phvul.008G281100,Phvul.008G281100.1,PF13855 - Leucine rich repeat (LRR_8)  (1 of 311)
Phvul.011G181366,Phvul.011G181366.1,PTHR11017//PTHR11017:SF162 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 17)
Phvul.005G039600,Phvul.005G039600.6,
Phvul.002G011700,Phvul.002G011700.1,PTHR24413:SF129 - BTB AND MATH DOMAIN-CONTAINING PROTEIN 42 (1 of 1)
Phvul.007G179201,Phvul.007G179201.4,
Phvul.004G136300,Phvul.004G136300.1,PTHR24286:SF83 - CYTOCHROME P450 SUPERFAMILY PROTEIN (1 of 1)
Phvul.001G013500,Phvul.001G013500.1,
Phvul.009G087900,Phvul.009G087900.2,
Phvul.011G130300,Phvul.011G130300.1,PTHR31165:SF10 - PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 10-RELATED (1 of 2)
Phvul.007G006400,Phvul.007G006400.1,6.3.4.3 - Formate--tetrahydrofolate ligase / Tetrahydrofolic formylase (1 of 1)
Phvul.004G103800,Phvul.004G103800.1,PF00560//PF13855 - Leucine Rich Repeat (LRR_1)  // Leucine rich repeat (LRR_8)  (1 of 35)
Phvul.008G268300,Phvul.008G268300.1,
Phvul.008G206600,Phvul.008G206600.1,PTHR22891:SF20 - PROTEIN ARGONAUTE 4-RELATED (1 of 3)
Phvul.L008143,Phvul.L008143.1,PTHR33912:SF1 - F22G5.17 (1 of 1)
Phvul.002G163900,Phvul.002G163900.1,PTHR13832//PTHR13832:SF294 - PROTEIN PHOSPHATASE 2C // SUBFAMILY NOT NAMED (1 of 1)
Phvul.008G065000,Phvul.008G065000.1,
Phvul.005G177800,Phvul.005G177800.2,PTHR26312:SF75 - F18B13.21 PROTEIN-RELATED (1 of 2)
Phvul.011G005100,Phvul.011G005100.1,3.1.1.11 - Pectinesterase / Pectin methylesterase (1 of 92)
Phvul.006G187000,Phvul.006G187000.1,
Phvul.011G072800,Phvul.011G072800.2,PTHR31189:SF2 - CUPIN DOMAIN-CONTAINING PROTEIN (1 of 2)
Phvul.006G109700,Phvul.006G109700.6,
Phvul.001G041400,Phvul.001G041400.1,PTHR33021:SF8 - EARLY NODULIN-LIKE PROTEIN 1-RELATED (1 of 3)
Phvul.008G026500,Phvul.008G026500.3,
Phvul.006G054700,Phvul.006G054700.1,KOG0156 - Cytochrome P450 CYP2 subfamily (1 of 118)
Phvul.004G081788,Phvul.004G081788.1,
Phvul.001G010400,Phvul.001G010400.1,PF00847 - AP2 domain (AP2)  (1 of 180)
Phvul.001G109300,Phvul.001G109300.1,"K12580 - CCR4-NOT transcription complex subunit 3 (CNOT3, NOT3)  (1 of 2)"
Phvul.011G146500,Phvul.011G146500.1,
Phvul.005G079733,Phvul.005G079733.1,KOG0984 - Mitogen-activated protein kinase (MAPK) kinase MKK3/MKK6 (1 of 1)
Phvul.008G106700,Phvul.008G106700.1,2.3.1.198 - Glycerol-3-phosphate 2-O-acyltransferase / sn-2-glycerol-3-phosphate O-acyltransferase (1 of 4)
Phvul.001G068600,Phvul.001G068600.2,PF13947 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)  (1 of 65)
Phvul.009G100900,Phvul.009G100900.2,
Phvul.005G063900,Phvul.005G063900.1,1.14.13.173 - 11-oxo-beta-amyrin 30-oxidase / CYP72A154 (1 of 17)
Phvul.003G209300,Phvul.003G209300.4,
Phvul.009G026200,Phvul.009G026200.1,PTHR31384:SF19 - AUXIN RESPONSE FACTOR 17 (1 of 2)
Phvul.004G167700,Phvul.004G167700.2,
Phvul.002G033200,Phvul.002G033200.2,
Phvul.002G168100,Phvul.002G168100.2,PTHR31471:SF5 - F7A19.1 PROTEIN-RELATED (1 of 2)
Phvul.007G004400,Phvul.007G004400.1,PTHR21433 - TRANSMEMBRANE PROTEIN INDUCED BY TUMOR NECROSIS FACTOR ALPHA (1 of 1)
Phvul.008G128200,Phvul.008G128200.1,3.1.3.26 - 4-phytase / Phytate 6-phosphatase (1 of 2)
Phvul.002G053600,Phvul.002G053600.1,"PTHR11079:SF58 - RNA PSEUDOURIDINE SYNTHASE 4, MITOCHONDRIAL (1 of 1)"
Phvul.005G174700,Phvul.005G174700.8,
Phvul.011G125400,Phvul.011G125400.1,
Phvul.003G119300,Phvul.003G119300.2,
Phvul.007G232200,Phvul.007G232200.1,PTHR10693:SF29 - GB (1 of 3)
Phvul.010G065300,Phvul.010G065300.2,
Phvul.001G020000,Phvul.001G020000.1,KOG2029 - Uncharacterized conserved protein (1 of 1)
Phvul.010G020400,Phvul.010G020400.1,
Phvul.006G017400,Phvul.006G017400.1,PTHR11926:SF233 - UDP-GLYCOSYLTRANSFERASE 85A1-RELATED (1 of 4)
Phvul.001G189800,Phvul.001G189800.1,"K00621 - glucosamine-phosphate N-acetyltransferase (GNPNAT1, GNA1)  (1 of 1)"
Phvul.004G155400,Phvul.004G155400.7,
Phvul.007G230900,Phvul.007G230900.1,"K02962 - small subunit ribosomal protein S17e (RP-S17e, RPS17)  (1 of 5)"
Phvul.011G087300,Phvul.011G087300.1,PF13639 - Ring finger domain (zf-RING_2)  (1 of 271)
Phvul.002G236000,Phvul.002G236000.1,"K06689 - ubiquitin-conjugating enzyme E2 D/E (UBE2D_E, UBC4, UBC5)  (1 of 8)"
Phvul.005G096200,Phvul.005G096200.1,PTHR32285:SF71 - PROTEIN TRICHOME BIREFRINGENCE-LIKE 39-RELATED (1 of 2)
Phvul.009G016800,Phvul.009G016800.1,PTHR23201:SF2 - GIBBERELLIN-REGULATED PROTEIN 1-RELATED (1 of 5)
Phvul.004G122600,Phvul.004G122600.1,PTHR22844:SF178 - ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 48-RELATED (1 of 1)
Phvul.005G044100,Phvul.005G044100.1,PTHR31446:SF2 - ACID PHOSPHATASE/VANADIUM-DEPENDENT HALOPEROXIDASE-RELATED PROTEIN (1 of 1)
Phvul.003G103300,Phvul.003G103300.1,"K03347 - cullin 1 (CUL1, CDC53)  (1 of 2)"
Phvul.008G096300,Phvul.008G096300.1,
Phvul.001G128600,Phvul.001G128600.1,"PTHR22942:SF41 - DNA REPAIR PROTEIN RECA HOMOLOG 2, MITOCHONDRIAL (1 of 1)"
Phvul.010G132200,Phvul.010G132200.2,
Phvul.L007843,Phvul.L007843.2,
Phvul.008G180500,Phvul.008G180500.1,PTHR13683:SF259 - ASPARTYL PROTEASE-LIKE PROTEIN (1 of 2)
Phvul.003G183000,Phvul.003G183000.1,PTHR31673:SF3 - COBRA-LIKE EXTRACELLULAR GLYCOSYL-PHOSPHATIDYL INOSITOL-ANCHORED FAMILY PROTEIN-RELATED (1 of 4)
Phvul.009G198400,Phvul.009G198400.1,PF03386 - Early nodulin 93 ENOD93 protein (ENOD93)  (1 of 4)
Phvul.011G011700,Phvul.011G011700.1,"PTHR11586:SF18 - NUCLEIC ACID-BINDING, OB-FOLD-LIKE PROTEIN (1 of 1)"
Phvul.001G121600,Phvul.001G121600.1,"K14819 - dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48] (DUSP12, YVH1)  (1 of 3)"
Phvul.008G248100,Phvul.008G248100.7,
Phvul.009G117550,Phvul.009G117550.1,
Phvul.010G063100,Phvul.010G063100.1,PTHR23155//PTHR23155:SF562 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 7)
Phvul.006G051000,Phvul.006G051000.1,"2.4.2.38 - Glycoprotein 2-beta-D-xylosyltransferase / Beta-1,2-xylosyltransferase (1 of 1)"
Phvul.009G110300,Phvul.009G110300.1,
Phvul.004G070500,Phvul.004G070500.2,"PTHR24089:SF395 - MITOCHONDRIAL PHOSPHATE CARRIER PROTEIN 2, MITOCHONDRIAL (1 of 1)"
Phvul.009G201100,Phvul.009G201100.1,PTHR13683:SF246 - ASPARTYL PROTEASE FAMILY PROTEIN (1 of 2)
Phvul.007G151400,Phvul.007G151400.1,PF12776 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_3)  (1 of 47)
Phvul.003G181700,Phvul.003G181700.1,PTHR36313:SF1 - ROOT MERISTEM GROWTH FACTOR 1-RELATED (1 of 1)
Phvul.001G163000,Phvul.001G163000.4,
Phvul.003G018100,Phvul.003G018100.1,PF07058 - Microtubule-associated protein 70 (MAP70)  (1 of 7)
Phvul.007G111100,Phvul.007G111100.1,K07950 - ADP-ribosylation factor-like protein 5B (ARL5B)  (1 of 1)
Phvul.004G031700,Phvul.004G031700.2,
Phvul.004G001700,Phvul.004G001700.2,PTHR33739:SF5 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 33A (1 of 3)
Phvul.003G277300,Phvul.003G277300.1,PTHR21576:SF7 - MAJOR FACILITATOR PROTEIN-RELATED (1 of 2)
Phvul.003G291800,Phvul.003G291800.2,
Phvul.002G117300,Phvul.002G117300.1,PF13041//PF13812 - PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  (1 of 9)
Phvul.008G107000,Phvul.008G107000.1,"PTHR24078:SF261 - DNAJ (HSP40) HOMOLOG, SUBFAMILY A, MEMBER 3A (1 of 6)"
Phvul.009G052800,Phvul.009G052800.1,3.4.14.5 - Dipeptidyl-peptidase IV / Xaa-Pro-dipeptidylaminopeptidase (1 of 1)
Phvul.007G011900,Phvul.007G011900.1,"PTHR11615//PTHR11615:SF138 - NITRATE, FROMATE, IRON DEHYDROGENASE // SUBFAMILY NOT NAMED (1 of 1)"
Phvul.004G122400,Phvul.004G122400.1,
Phvul.002G012700,Phvul.002G012700.1,K03097 - casein kinase II subunit alpha (CSNK2A)  (1 of 3)
Phvul.006G098200,Phvul.006G098200.2,
Phvul.004G150700,Phvul.004G150700.1,PTHR26312:SF81 - PHOTOSYSTEM I ASSEMBLY PROTEIN YCF3 (1 of 2)
Phvul.006G175300,Phvul.006G175300.2,
Phvul.007G117500,Phvul.007G117500.1,K17255 - Rab GDP dissociation inhibitor (GDI1_2)  (1 of 4)
Phvul.009G222900,Phvul.009G222900.4,
Phvul.003G039600,Phvul.003G039600.1,PF03110 - SBP domain (SBP)  (1 of 23)
Phvul.L001652,Phvul.L001652.5,
Phvul.001G084300,Phvul.001G084300.1,PTHR13445:SF3 - PROTEIN TSSC4 (1 of 1)
Phvul.010G067800,Phvul.010G067800.1,PTHR33057:SF22 - OVATE FAMILY PROTEIN 1-RELATED (1 of 2)
Phvul.011G148300,Phvul.011G148300.1,PF12776 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_3)  (1 of 47)
Phvul.005G125900,Phvul.005G125900.1,
Phvul.011G116400,Phvul.011G116400.1,PTHR24072:SF167 - RAC-LIKE GTP-BINDING PROTEIN ARAC2 (1 of 2)
Phvul.002G155000,Phvul.002G155000.1,PTHR14155//PTHR14155:SF186 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED (1 of 1)
Phvul.006G143000,Phvul.006G143000.1,
Phvul.009G095300,Phvul.009G095300.1,
Phvul.004G145500,Phvul.004G145500.1,1.1.1.334 - Methylecgonone reductase (1 of 2)
Phvul.003G140452,Phvul.003G140452.1,PTHR23216 - NUCLEOLAR AND COILED-BODY PHOSPHOPROTEIN 1 (1 of 1)
Phvul.002G121700,Phvul.002G121700.1,
Phvul.002G228200,Phvul.002G228200.1,K07456 - DNA mismatch repair protein MutS2 (mutS2)  (1 of 1)
Phvul.006G099500,Phvul.006G099500.1,"K02974 - small subunit ribosomal protein S24e (RP-S24e, RPS24)  (1 of 2)"
Phvul.011G170800,Phvul.011G170800.1,PTHR14155:SF180 - RING/U-BOX DOMAIN-CONTAINING PROTEIN-RELATED (1 of 7)
Phvul.008G215500,Phvul.008G215500.1,PTHR22835//PTHR22835:SF229 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 2)
Phvul.006G031250,Phvul.006G031250.1,PTHR11528:SF53 - HEAT SHOCK PROTEIN 90-1 (1 of 7)
Phvul.003G147900,Phvul.003G147900.1,2.6.1.62 - Adenosylmethionine--8-amino-7-oxononanoate transaminase / DAPA aminotransferase (1 of 1)
Phvul.006G014400,Phvul.006G014400.1,PF11347 - Protein of unknown function (DUF3148) (DUF3148)  (1 of 1)
Phvul.L002072,Phvul.L002072.1,"K14396 - polyadenylate-binding protein 2 (PABPN1, PABP2)  (1 of 4)"
Phvul.005G121300,Phvul.005G121300.1,
Phvul.007G039000,Phvul.007G039000.2,
Phvul.003G175650,Phvul.003G175650.1,PTHR12136//PTHR12136:SF49 - STEROIDOGENIC ACUTE REGULATORY PROTEIN  STAR // SUBFAMILY NOT NAMED (1 of 4)
Phvul.010G019701,Phvul.010G019701.1,PTHR13596 - SMALL EDRK-RICH FACTOR 1 (1 of 4)
Phvul.001G214300,Phvul.001G214300.2,
Phvul.005G000800,Phvul.005G000800.2,
Phvul.002G063800,Phvul.002G063800.1,PTHR10108:SF711 - S-ADENOSYLMETHIONINE-DEPENDENT METHYLTRANSFERASE CRG1-RELATED (1 of 2)
Phvul.001G063050,Phvul.001G063050.1,"PTHR12482:SF5 - PROTEIN C09D4.4, ISOFORM C (1 of 4)"
Phvul.008G054200,Phvul.008G054200.1,
Phvul.010G157200,Phvul.010G157200.1,PTHR12601:SF18 - TETRATRICOPEPTIDE REPEAT-CONTAINING PROTEIN (1 of 1)
Phvul.008G029000,Phvul.008G029000.1,PTHR31673:SF2 - COBRA-LIKE PROTEIN 4 (1 of 2)
Phvul.001G033101,Phvul.001G033101.1,PTHR12857:SF0 - UPF0587 PROTEIN C1ORF123 (1 of 1)
Phvul.010G064700,Phvul.010G064700.1,PTHR23155//PTHR23155:SF562 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 7)
Phvul.005G101600,Phvul.005G101600.2,K10695 - E3 ubiquitin-protein ligase RNF1/2 [EC:6.3.2.19] (RNF1_2)  (1 of 4)
Phvul.009G136000,Phvul.009G136000.2,"PTHR10219:SF34 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MXL8 (1 of 2)"
Phvul.007G112200,Phvul.007G112200.1,PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 124)
Phvul.008G201500,Phvul.008G201500.1,
Phvul.004G029100,Phvul.004G029100.1,"K00703 - starch synthase (E2.4.1.21, glgA)  (1 of 3)"
Phvul.006G132700,Phvul.006G132700.1,PTHR11913:SF22 - ACTIN-DEPOLYMERIZING FACTOR 1-RELATED (1 of 2)
Phvul.005G088436,Phvul.005G088436.1,
Phvul.009G235000,Phvul.009G235000.1,K11092 - U2 small nuclear ribonucleoprotein A' (SNRPA1)  (1 of 2)
Phvul.005G069100,Phvul.005G069100.1,
Phvul.003G160600,Phvul.003G160600.1,PTHR22595//PTHR22595:SF47 - CHITINASE-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Phvul.006G187500,Phvul.006G187500.2,
Phvul.006G151400,Phvul.006G151400.2,
Phvul.001G043600,Phvul.001G043600.1,PTHR24423:SF475 - HISTIDINE KINASE 5 (1 of 2)
Phvul.006G100000,Phvul.006G100000.1,PF05910 - Plant protein of unknown function (DUF868) (DUF868)  (1 of 16)
Phvul.004G047200,Phvul.004G047200.1,PTHR34191:SF2 - STRESS-INDUCED PROTEIN KIN1-RELATED (1 of 8)
Phvul.010G148800,Phvul.010G148800.1,K02695 - photosystem I subunit VI (psaH)  (1 of 1)
Phvul.010G163300,Phvul.010G163300.1,PTHR10621:SF9 - F12F1.16 PROTEIN-RELATED (1 of 2)
Phvul.008G088400,Phvul.008G088400.2,PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 9)
Phvul.010G010050,Phvul.010G010050.1,PTHR23355//PTHR23355:SF5 - RIBONUCLEASE // SUBFAMILY NOT NAMED (1 of 1)
Phvul.003G025300,Phvul.003G025300.1,PTHR10024:SF256 - C2 CALCIUM/LIPID-BINDING PLANT PHOSPHORIBOSYLTRANSFERASE FAMILY PROTEIN (1 of 2)
Phvul.003G206600,Phvul.003G206600.1,PTHR22950//PTHR22950:SF268 - AMINO ACID TRANSPORTER // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G270300,Phvul.002G270300.1,PTHR22849//PTHR22849:SF20 - WDSAM1 PROTEIN // SUBFAMILY NOT NAMED (1 of 2)
Phvul.006G097600,Phvul.006G097600.1,PTHR10910//PTHR10910:SF109 - EUKARYOTE SPECIFIC DSRNA BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G200300,Phvul.002G200300.1,1.3.3.8 - Tetrahydroberberine oxidase / THB oxidase (1 of 37)
Phvul.003G143000,Phvul.003G143000.3,
Phvul.010G036000,Phvul.010G036000.3,PTHR31791:SF12 - FRIGIDA-LIKE PROTEIN 3 (1 of 2)
Phvul.011G081000,Phvul.011G081000.1,
Phvul.006G193600,Phvul.006G193600.1,PF04749 - PLAC8 family (PLAC8)  (1 of 18)
Phvul.001G180450,Phvul.001G180450.1,
Phvul.007G234600,Phvul.007G234600.5,
Phvul.010G149100,Phvul.010G149100.1,
Phvul.008G152400,Phvul.008G152400.1,PTHR14155:SF128 - RING-H2 FINGER PROTEIN ATL46 (1 of 4)
Phvul.008G244100,Phvul.008G244100.4,
Phvul.L001701,Phvul.L001701.1,PTHR23304//PTHR23304:SF127 - SPOT2-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.006G087000,Phvul.006G087000.1,PTHR31989:SF6 - F12P19.8 PROTEIN (1 of 2)
Phvul.005G083100,Phvul.005G083100.3,
Phvul.009G232500,Phvul.009G232500.1,PTHR23421:SF74 - BETA-GALACTOSIDASE 1 (1 of 4)
Phvul.010G128300,Phvul.010G128300.1,PTHR21493:SF121 - LIPASE CLASS 3 FAMILY PROTEIN (1 of 3)
Phvul.008G015600,Phvul.008G015600.1,K18059 - sulfate transporter 4 (SULTR4)  (1 of 1)
Phvul.008G155500,Phvul.008G155500.2,
Phvul.007G281100,Phvul.007G281100.1,
Phvul.009G209000,Phvul.009G209000.1,PF14111 - Domain of unknown function (DUF4283) (DUF4283)  (1 of 81)
Phvul.003G264200,Phvul.003G264200.1,2.8.1.1 - Thiosulfate sulfurtransferase / Thiosulfate thiotransferase (1 of 3)
Phvul.008G007900,Phvul.008G007900.3,
Phvul.001G096000,Phvul.001G096000.2,PTHR12585:SF31 - SISTER CHROMATID COHESION 1 PROTEIN 2 (1 of 1)
Phvul.001G002200,Phvul.001G002200.1,
Phvul.004G080100,Phvul.004G080100.1,PTHR34132:SF1 - EMB (1 of 2)
Phvul.001G259800,Phvul.001G259800.1,
Phvul.009G169300,Phvul.009G169300.6,
Phvul.002G270200,Phvul.002G270200.1,PTHR33599:SF2 - PROTEIN IDA-LIKE 3-RELATED (1 of 2)
Phvul.007G023900,Phvul.007G023900.1,
Phvul.001G121000,Phvul.001G121000.1,PTHR10277//PTHR10277:SF38 - HOMOCITRATE SYNTHASE-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.003G242451,Phvul.003G242451.2,
Phvul.008G199300,Phvul.008G199300.1,
Phvul.011G054600,Phvul.011G054600.6,
Phvul.011G057900,Phvul.011G057900.1,"PTHR24351:SF107 - AGC (CAMP-DEPENDENT, CGMP-DEPENDENT AND PROTEIN KINASE C) KINASE FAMILY PROTEIN (1 of 2)"
Phvul.011G086700,Phvul.011G086700.1,"K13071 - pheophorbide a oxygenase (PAO, ACD1)  (1 of 1)"
Phvul.004G121600,Phvul.004G121600.4,
